date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-09-21,84.1569,84.5727,83.6718,84.3153,26639437,26639437,0.346488,0.413,84.2363,"Sep 21, 18",0.02786057279114074
2018-09-24,84.9291,86.2111,84.8598,85.731,13549454,13549454,1.4156,1.679,85.7438,"Sep 24, 18",0.04511891395698394
2018-09-25,86.1578,86.4833,85.5033,85.632,12200690,12200690,-0.098996,-0.115,85.7622,"Sep 25, 18",0.04391203695237965
2018-09-26,85.1568,85.632,84.8301,84.9192,10275498,10275498,-0.712775,-0.832,85.1891,"Sep 26, 18",0.03522252251922781
2018-09-27,85.2211,85.5082,84.7311,84.9093,7895430,7895430,-0.0099,-0.012,85.0511,"Sep 27, 18",0.03510183481876735
2018-09-28,84.3945,85.0676,84.1371,84.1668,9884941,9884941,-0.742474,-0.874,84.4835,"Sep 28, 18",0.02605025728423413
2018-10-01,84.4935,85.1667,84.3995,84.9489,8568210,8568210,0.782073,0.929,84.8439,"Oct 1, 18",0.03558458562060903
2018-10-02,84.939,85.7953,84.7628,85.5924,8453138,8453138,0.643477,0.757,85.4908,"Oct 2, 18",0.043429286150537795
2018-10-03,85.6419,86.0181,85.1122,85.2855,10206722,10206722,-0.306889,-0.359,85.4692,"Oct 3, 18",0.039687967436264106
2018-10-04,84.642,85.2115,84.3945,84.7212,10204586,10204586,-0.56428,-0.662,84.7412,"Oct 4, 18",0.03280876851001889
2018-10-05,84.4539,84.84,84.0801,84.4836,9217393,9217393,-0.237592,-0.28,84.401,"Oct 5, 18",0.029912263698968277
2018-10-08,83.9391,85.4389,83.8005,85.2657,13242364,13242364,0.782072,0.926,85.0031,"Oct 8, 18",0.03944659203534318
2018-10-09,85.5132,86.0082,84.8796,85.6419,10177885,10177885,0.376187,0.441,85.5289,"Oct 9, 18",0.04403272465284011
2018-10-10,85.8597,85.9488,83.652,83.6718,16573426,16573426,-1.97,-2.3,84.4484,"Oct 10, 18",0.020015872261212153
2018-10-11,83.0977,83.3254,80.3555,80.7811,20320055,20320055,-2.8907,-3.455,81.6407,"Oct 11, 18",-0.01522371720555557
2018-10-12,81.3058,81.4147,79.4645,80.5634,15216300,15216300,-0.217792,-0.27,80.4837,"Oct 12, 18",-0.017877627548003795
2018-10-15,80.5634,80.9148,80.009,80.009,10558752,10558752,-0.554381,-0.688,80.3315,"Oct 15, 18",-0.024636138773788552
2018-10-16,79.7021,80.4495,79.2071,80.3852,9781778,9781778,0.376187,0.47,80.1526,"Oct 16, 18",-0.020050006156291794
